,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,categories,attributes.GoodForKids,attributes.RestaurantsReservations,attributes.GoodForMeal,attributes.BusinessParking,attributes.Caters,attributes.NoiseLevel,attributes.RestaurantsTakeOut,attributes.RestaurantsPriceRange2,attributes.OutdoorSeating,attributes.BikeParking,attributes.Ambience,attributes.HasTV,attributes.WiFi,attributes.Alcohol,attributes.RestaurantsAttire,attributes.RestaurantsGoodForGroups,attributes.RestaurantsDelivery,attributes.BusinessAcceptsCreditCards,Chinese,French,Mexican,Italian,Indian,Japanese,American
2,6fPQJq4f_yiq1NHn0fd11Q,La Creperie,3655 Las Vegas Blvd S,Las Vegas,NV,89109,36.11252664,-115.1713514,3.5,535,1,"French, Restaurants, Creperies",1,0,3,1,0,average,1,2,0,0,1,0,no,none,casual,1,0,1,0,1,0,0,0,0,0
3,k-dDZvTeLysoJvjHI-qr9g,Feast Buffet,2411 W Sahara Ave,Las Vegas,NV,89102,36.14211618,-115.1742516,3,287,1,"Buffets, Restaurants",1,0,3,2,0,average,0,1,0,1,1,0,free,beer_and_wine,casual,1,0,1,0,0,0,0,0,0,0
5,dusNIzdCaH6EoLl2hRy6cQ,Chipotle Mexican Grill,3475 Las Vegas Blvd S,Las Vegas,NV,89109,36.120095,-115.171769,3.5,115,1,"Fast Food, Mexican, Restaurants",1,0,2,1,0,loud,1,1,1,0,1,0,no,beer_and_wine,casual,1,0,1,0,0,1,0,0,0,0
6,hgQOESYp7CF4LnNI90XEiw,800 Degrees,2535 Las Vegas Blvd S,Las Vegas,NV,89109,36.1423694,-115.156034,3.5,296,1,"Pizza, Salad, Restaurants, Italian",1,0,3,2,0,average,1,2,0,0,1,0,free,beer_and_wine,casual,1,0,1,0,0,0,1,0,0,0
7,F06m2yQSPHIrb1IT7heYeQ,Rainbow Kitchen,7537 S Rainbow Blvd,Las Vegas,NV,89139,36.05144996,-115.2441147,4,101,1,"Chinese, Seafood, Cantonese, Noodles, Restaurants",1,1,3,1,1,average,1,2,0,1,1,1,free,beer_and_wine,casual,1,0,1,1,0,0,0,0,0,0
8,SAfuIUZMXrOnb3LWyvYjDA,Jun's Korean Restaurant,"8826 S Eastern Ave, Ste 113",Las Vegas,NV,89123,36.02929536,-115.1158845,3.5,292,1,"Korean, Restaurants",1,0,2,1,1,average,1,2,0,1,1,1,no,none,casual,1,0,1,0,0,0,0,0,0,0
9,aidcfUzZLOjWgwlxfv3UlA,Tony Big's Pizza N Pasta,7150 S Durango Dr,Las Vegas,NV,89113,36.05835714,-115.2784112,3,106,1,"Italian, Pizza, Restaurants",0,1,0,1,1,quiet,1,2,0,1,0,1,free,full_bar,casual,1,1,1,0,0,0,1,0,0,0
10,BIbjBxoiJLS8CnNsSP64TQ,360 Gourmet Burrito,5757 Wayne Newton Blvd,Las Vegas,NV,89119,36.0828537,-115.1512027,2,168,1,"Restaurants, Mexican",1,0,1,1,0,loud,1,2,0,0,0,0,no,none,casual,0,0,1,0,0,1,0,0,0,0
11,GMrwDXRlAZU2zj5nH6l4vQ,Pho Thanh Huong,"1131 E Tropicana Ave, Ste D",Las Vegas,NV,89119,36.1001831,-115.138668,4,481,1,"Vietnamese, American (New), Restaurants, Sandwiches",1,1,2,1,1,average,1,1,0,0,1,1,free,none,casual,1,0,1,0,0,0,0,0,0,1
12,qVO3l9Q0-KVQE7W9JL9ePw,Greenland Supermarket,6850 Spring Mountain Rd,Las Vegas,NV,89146,36.127061,-115.241457,4,334,1,"Ethical Grocery, Grocery, Shopping, Food Stands, Food, Korean, Restaurants",1,0,2,1,0,average,1,2,0,1,1,0,no,beer_and_wine,casual,1,0,1,0,0,0,0,0,0,0
13,iX2c4IzH_L5F6FM5GD3SUQ,Tasty Crepes,4845 S Fort Apache Rd,Las Vegas,NV,89147,36.10168999,-115.2981503,4.5,260,1,"Restaurants, Desserts, Food, Juice Bars & Smoothies, Creperies, Ice Cream & Frozen Yogurt",1,0,3,1,1,quiet,1,1,0,1,1,1,free,none,casual,1,0,1,0,0,0,0,0,0,0
14,ujHiaprwCQ5ewziu0Vi9rw,The Buffet at Bellagio,3600 S Las Vegas Blvd,Las Vegas,NV,89109,36.11322,-115.17689,3.5,4227,1,"American (New), Buffets, Restaurants",1,0,3,1,0,average,0,3,0,0,1,0,free,full_bar,casual,1,0,1,0,0,0,0,0,0,1
15,DVfCbJhJUDWRlUfrKzaKOA,Sam Woo BBQ Restaurant,"4215 Spring Mountain Rd, Ste B101",Las Vegas,NV,89102,36.1253808,-115.1959803,2,550,1,"Restaurants, Noodles, Barbeque, Chinese",1,0,2,1,0,average,1,2,0,0,1,0,no,none,casual,1,0,0,1,0,0,0,0,0,0
16,XDYCIRENiT2doRZgwNJ3SA,Pepe's Tacos,"4190 S Rainbow Blvd, Ste 1",Las Vegas,NV,89103,36.11254551,-115.2426152,2.5,218,1,"Food, Restaurants, Mexican",1,0,2,1,0,average,1,1,0,1,1,1,no,none,casual,1,0,1,0,0,1,0,0,0,0
