"","business_id","sentiments","name","address","city","state","postal_code","latitude","longitude","stars","review_count","is_open","categories","attributes.GoodForKids","attributes.RestaurantsReservations","attributes.GoodForMeal","attributes.BusinessParking","attributes.Caters","attributes.NoiseLevel","attributes.RestaurantsTakeOut","attributes.RestaurantsPriceRange2","attributes.OutdoorSeating","attributes.BikeParking","attributes.Ambience","attributes.HasTV","attributes.WiFi","attributes.Alcohol","attributes.RestaurantsAttire","attributes.RestaurantsGoodForGroups","attributes.RestaurantsDelivery","attributes.BusinessAcceptsCreditCards","Chinese","French","Mexican","Italian","Indian","Japanese","American","China.p","India.p","Italy.p","Japan.p","France.p","Mexico.p"
"1","--9e1ONYQuAa-CB_Rrw7Tw",-2,"Delmonico Steakhouse","3355 Las Vegas Blvd S","Las Vegas","NV","89109",36.123183,-115.16919,4,1613,1,"Cajun/Creole, Seafood, Steakhouses, Restaurants",0,1,1,2,0,"average",0,4,0,0,2,0,"no","full_bar","dressy",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"2","-3zffZUHoY8bQjGfPSoBKQ",9,"Michael Mina","3600 S Las Vegas Blvd","Las Vegas","NV","89109",36.11199,-115.177001,4,636,1,"Nightlife, Bars, American (New), Seafood, Restaurants",0,1,1,1,0,"average",0,4,0,0,2,0,"free","full_bar","dressy",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"3","-8R_-EkGpUhBk55K9Dd4mg",-3,"Sin City Thai Restaurant","4850 W Sunset Rd, Ste 115","Las Vegas","NV","89118",36.0725097656,-115.2069015503,3.5,117,1,"Thai, Restaurants",1,0,2,0,1,"average",1,1,0,1,1,1,"no","none","casual",0,1,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"4","-9YyInW1wapzdNZrhQJ9dg",9,"Fresh Buffet","3000 Paradise Rd","Las Vegas","NV","89109",36.1362575,-115.1512526,2.5,193,1,"Buffets, Restaurants",1,0,3,3,0,"average",1,2,0,0,1,1,"free","beer_and_wine","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"5","-C8sSrFqaCxp51pyo-fQLQ",6,"The Rice Shop","3655 S Durango Dr, Ste 9","Las Vegas","NV","89147",36.1231118615,-115.2798969372,4.5,135,0,"Comfort Food, Food, Asian Fusion, Restaurants, Specialty Food",1,0,1,1,1,"quiet",1,1,0,1,1,1,"no","none","casual",0,1,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"6","-OEIW0dO96-492qa_luxaw",5,"Aces & Ales","3740 S Nellis Blvd","Las Vegas","NV","89121",36.1214227,-115.0647158,4,274,1,"Bars, Nightlife, Local Flavor, Sports Bars, American (Traditional), Food, Casinos, American (New), Music Venues, Pubs, Beer Bar, Restaurants, Beer, Wine & Spirits, Arts & Entertainment",0,1,3,1,1,"average",1,2,0,1,1,1,"free","full_bar","casual",1,1,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"7","-qYuPncpK8elgD-6Qx3v7A",4,"Flock & Fowl","150 N Las Vegas Blvd, Ste 100","Las Vegas","NV","89101",36.1699583,-115.1397038,4,261,1,"American (New), Chicken Shop, Bars, Singaporean, Restaurants, Asian Fusion, Nightlife",1,1,6,2,1,"average",1,2,1,1,3,0,"free","full_bar","casual",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"8","_0x7W6fizaPP76xNBxBLAQ",10,"Stephano's Greek & Mediterranean Grill","6115 S Fort Apache Rd","Las Vegas","NV","89148",36.0771648,-115.2986213,4,295,1,"Lebanese, Restaurants, Middle Eastern, Greek, Mediterranean",1,0,3,1,1,"average",1,2,1,0,1,0,"free","beer_and_wine","casual",1,1,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"9","_3FxLxdg1unUQc3QqIgJuA",9,"T-Bones Chophouse","11011 W Charleston Blvd","Las Vegas","NV","89135",36.1559383512,-115.3329598904,3.5,440,1,"Steakhouses, Japanese, Asian Fusion, Lounges, Chinese, Restaurants, Nightlife, Bars",0,1,1,2,0,"average",0,3,1,0,1,1,"no","full_bar","dressy",1,0,1,1,0,0,0,0,1,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"10","_8yxceldCT7oe0wJC-yDPA",-4,"Benjarong Authentic Thai Cuisine","7425 S Durango Dr, Ste 101","Las Vegas","NV","89113",36.0533813,-115.2795528,3.5,174,0,"Thai, Food, Restaurants",1,0,2,1,1,"quiet",1,2,0,0,1,0,"no","beer_and_wine","casual",1,1,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"11","_cs_J4j8XXyBgihJs83qUg",11,"Church's Chicken","7925 S Rainbow Blvd","Las Vegas","NV","89139",36.0447704,-115.2440255,2,142,1,"Chicken Shop, Restaurants, Fast Food, Chicken Wings, Burgers, Breakfast & Brunch, Chinese",1,0,2,1,0,"average",1,1,0,1,1,0,"no","none","casual",1,0,1,1,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"12","_eDVVS8wwXcdllaW6nfLyg",5,"Paid In Full","7225 S Durango Dr, Ste 105","Las Vegas","NV","89113",36.0569792,-115.2801062,4.5,142,1,"Korean, Food, Tapas/Small Plates, Street Vendors, Japanese, Restaurants",1,0,2,1,0,"average",1,2,0,1,3,0,"no","beer_and_wine","casual",1,0,1,0,0,0,0,0,1,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"13","_hML_SleB40KkUrMHOZ_-Q",10,"Rx Boiler Room","3930 Las Vegas Blvd","Las Vegas","NV","89119",36.093584908,-115.1758973462,4,453,0,"Nightlife, American (Traditional), Bars, Cocktail Bars, Restaurants, American (New)",0,1,1,1,0,"average",0,3,0,0,1,0,"free","full_bar","casual",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"14","_j2EtQtgLuXGRBfbM5YwZA",9,"Noodle Asia","3355 Las Vegas Blvd S","Las Vegas","NV","89109",36.122689,-115.170163,3.5,1090,1,"Restaurants, Asian Fusion, Chinese, Dim Sum, Noodles",1,0,3,1,0,"average",1,2,0,0,1,0,"free","beer_and_wine","casual",1,0,1,1,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"15","_K2_Yf_ltfhuJ2JGCOs85g",6,"S7 Buffet","4100 S Paradise Rd","Las Vegas","NV","89169",36.1137276,-115.1523206,2.5,114,1,"Buffets, Restaurants",1,0,1,2,0,"average",0,2,0,1,1,1,"no","none","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"16","_kb6GT4qawjwq47OsQ52xw",1,"Paradise Garden Buffet","3555 Las Vegas Blvd S","Las Vegas","NV","89109",36.117064,-115.171177,2.5,520,1,"Food, Buffets, Restaurants",1,0,2,1,0,"average",0,2,0,0,1,0,"free","beer_and_wine","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"17","_Kd0kQ8RF70hJ1ykLqCRyQ",-3,"Cafe Rio","9595 S Eastern Ave","Las Vegas","NV","89123",36.0154353334,-115.1194969015,3,388,1,"Mexican, Restaurants",1,0,2,1,1,"average",1,1,1,1,1,0,"no","none","casual",1,0,1,0,0,1,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"18","_R-rjgz4Kwi4f3u0clFeKg",4,"Sid's Cafe","3000 Paradise Rd","Las Vegas","NV","89109",36.1362575,-115.1512526,2.5,210,1,"Cafes, Breakfast & Brunch, Beer, Wine & Spirits, Food, Sandwiches, Restaurants, American (Traditional)",1,1,2,1,0,"average",1,2,0,0,1,1,"no","full_bar","casual",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"19","_RiwESa2w64ls6y_5tE4CA",6,"Yoshi Burritos","4165 S Grand Canyon Dr, Ste 100","Las Vegas","NV","89147",36.1141241,-115.3087109,4,235,1,"Sushi Bars, Asian Fusion, Food, Poke, Restaurants",1,0,2,0,1,"average",1,1,1,1,2,1,"no","none","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"20","_V0yJdpXrbdKzBDoVSJGWA",-5,"Silver Sevens Hotel and Casino","4100 Paradise Rd","Las Vegas","NV","89169",36.1141583,-115.1535379,2.5,378,1,"Hotels, American (Traditional), Casinos, Hotels & Travel, Arts & Entertainment, Do-It-Yourself Food, Restaurants, Event Planning & Services, Food",0,1,2,1,0,"average",0,2,0,1,1,1,"free","full_bar","casual",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"21","_w5hBpkjHs5_Hv3pLeHtIw",-5,"Julian Serrano Tapas","3730 Las Vegas Blvd S","Las Vegas","NV","89109",36.1083306218,-115.175807536,4,1785,1,"Spanish, Restaurants, Tapas Bars",0,1,1,0,0,"average",0,3,0,0,1,1,"free","full_bar","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"22","_Xzz-PChcdJ1862CK6dRyw",10,"Toast Society","6005 S Fort Apache Rd, Ste 110","Las Vegas","NV","89148",36.0794375,-115.2980657,4.5,143,1,"Restaurants, Food, Breakfast & Brunch, Juice Bars & Smoothies, Coffee & Tea",0,0,3,1,0,"average",1,2,1,1,5,0,"free","none","casual",1,0,1,0,0,0,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"23","0_aeYE2-VbsZts_UpILgDw",1,"Lazy Dog Restaurant & Bar","1725 Festival Plz Dr, Ste A2","Las Vegas","NV","89135",36.152831458,-115.3338667748,4,1207,1,"Burgers, Pizza, American (New), Bars, Food, Beer, Wine & Spirits, Restaurants, Comfort Food, Nightlife",1,1,4,3,0,"average",1,2,1,1,1,1,"free","full_bar","casual",1,0,1,0,0,0,0,0,0,1,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
"24","0_mJttUgHIzC-NO18gcgBA",11,"La Mojarra Loca Grill","2797 S Maryland Pkwy","Las Vegas","NV","89109",36.1378352159,-115.1372932203,4,265,1,"Restaurants, Mexican, Seafood, Bars, Nightlife",1,1,5,1,1,"average",1,2,0,1,1,1,"no","full_bar","casual",1,0,1,0,0,1,0,0,0,0,0.0040550566185084,0.00126083561108942,4.04139008199922e-05,8.96134322530262e-05,0,0
